Name,Team,POS,ADP,PA,mAVG,mRBI,mR,mSB,mHR,PTS,aPOS,Dollars,PlayerId
"Ronald Acuna Jr.","ATL","OF/DH",1.809999942779541,425.132,5.964437673899224,2.7996653209173075,9.574238889495645,10.666775373027113,4.106833155870486,33.111950413209776,8.849804582248977,42.56716040086416,"18401"
"Fernando Tatis Jr.","SDP","OF",17.559999465942383,421.699,3.56926067879179,6.43051794222989,8.216131918527942,4.403994892182645,8.26082672764715,30.880732159379416,8.849804582248977,40.3359421470338,"19709"
"Kyle Tucker","HOU","OF",6.170000076293945,387.859,3.655188333194905,4.522274245357207,2.470615705642403,3.1786207242798468,2.469830614094683,16.296529622569043,8.849804582248977,25.75173961022343,"18345"
"Juan Soto","SDP","OF",10.920000076293945,408.959,2.3223319719120727,3.8505543331267624,6.227402166459767,0.030649719247248346,3.32094016716368,15.751878357909531,8.849804582248977,25.207088345563914,"20123"
"Vladimir Guerrero Jr.","TOR","1B/DH",11.479999542236328,388.453,4.307985563789208,6.203346755373586,3.26050319931566,-1.081632724984612,4.830414469138934,17.520617262632776,6.699182406227129,24.82520507426531,"19611"
"Freddie Freeman","LAD","1B",14.569999694824219,410.024,7.205208864096829,2.996809198331526,5.670790274089735,0.30196867202531874,1.1027971186277206,17.27757412717113,6.699182406227129,24.58216193880366,"5361"
"Jose Ramirez","CLE","3B/DH",3.690000057220459,405.387,2.067902574885558,4.994706641188738,3.0366837490430845,2.9338052795994627,2.4250880925790557,15.4581863372959,8.269185234251395,24.3327769769527,"13510"
"Julio Rodriguez","SEA","OF",4.239999771118164,415.02,0.7056746604077861,2.5612686657900117,3.3777719743749763,4.747455983516489,3.0799778229096235,14.472149106998888,8.849804582248977,23.927359094653273,"23697"
"Mookie Betts","LAD","2B/OF",10.4399995803833,420.073,1.8163194027185001,2.535531361593376,6.88718130471134,0.8696869606172216,4.056024117361643,16.16474314700208,6.513321759337906,23.283470311745393,"13611"
"Shohei Ohtani","LAA","P/DH",8.279999732971191,391.594,0.5680179711563423,4.273905305309385,4.160148984231438,2.3276921629480043,4.7404255906013875,16.070190014246556,6.513321759337906,23.18891717898987,"19755"
"Bo Bichette","TOR","SS",12.569999694824219,405.455,4.607704072560592,3.0106433061557745,3.4993774775615565,1.0235601617571206,1.854564291894051,13.995849309929094,7.356475195932416,21.957729911266917,"19612"
"Rafael Devers","BOS","3B",20.3799991607666,396.973,2.6032771499581306,5.391068489462289,2.7519938264977544,-1.8374322240174001,3.6673752916629807,12.576282533563756,8.269185234251395,21.450873173220558,"17350"
"Mike Trout","LAA","OF",18.700000762939453,402.288,-0.5662087907892257,4.847035551538318,4.3348071281748695,-2.3852622500251592,5.694352542048739,11.92472418094754,8.849804582248977,21.379934168601924,"10155"
"Austin Riley","ATL","3B",20.690000534057617,402.113,1.7101854176169262,5.74292664695692,2.509773886222147,-2.3927988931482385,3.9280535148079627,11.498140572455716,8.269185234251395,20.37273121211252,"18360"
